level,question,answer,correct,incorrect,AverageTime,LastAsked,Accuracy
1,5+□=10、□は？,5,0,0,0,2025-01-27 23:37:16.435798,0
1,1+□=10、□は？,9,0,0,0,2025-01-27 23:37:19.659636,0
1,3+□=10、□は？,7,0,0,0,2025-01-27 23:23:21.761469,0
1,7+□=10、□は？,3,0,0,0,2025-01-27 23:23:32.531258,0
1,9+□=10、□は？,1,0,0,0,2025-01-27 23:23:34.694575,0
1,2+□=10、□は？,8,0,0,0,2025-01-27 23:23:26.571992,0
1,8+□=10、□は？,2,0,0,0,2025-01-27 23:23:23.982777,0
1,4+□=10、□は？,6,0,0,0,2025-01-27 23:23:30.306300,0
1,6+□=10、□は？,4,0,0,0,2025-01-27 23:23:37.059531,0
2,9-6=,3,0,0,0,2025-01-27 22:43:05.886602,0
2,9-7=,2,0,0,0,2025-01-27 22:43:08.923899,0
2,8-0=,8,0,0,0,2025-01-27 22:43:11.875674,0
2,8-1=,7,0,0,0,2025-01-27 22:43:14.469557,0
2,8-2=,6,0,0,0,2025-01-27 22:43:17.086486,0
2,8-3=,5,0,0,0,2025-01-27 22:43:20.190637,0
2,8-4=,4,0,0,0,2025-01-27 22:43:22.445599,0
2,8-6=,2,0,0,0,2025-01-27 22:43:25.399435,0
2,8-8=,0,0,0,0,2025-01-27 22:43:29.253562,0
2,7-0=,7,0,0,0,2025-01-27 22:43:32.001947,0
2,7-1=,6,0,0,0,2025-01-27 22:43:34.749787,0
2,7-3=,4,0,0,0,2025-01-27 22:43:37.245736,0
2,6-0=,6,0,0,0,2025-01-27 22:43:41.485573,0
2,6-1=,5,0,0,0,2025-01-27 22:43:44.453607,0
2,6-2=,4,0,0,0,2025-01-27 22:43:47.325153,0
2,6-4=,2,0,0,0,2025-01-27 22:43:50.535595,0
2,5-0=,5,0,0,0,2025-01-27 22:43:52.806976,0
2,5-2=,3,0,0,0,2025-01-27 22:43:55.214896,0
2,5-3=,2,0,0,0,2025-01-27 22:43:57.365743,0
2,5-4=,1,0,0,0,2025-01-27 22:43:59.583108,0
2,4-1=,3,0,0,0,2025-01-27 22:44:01.991605,0
2,4-2=,2,0,0,0,2025-01-27 22:44:05.446584,0
2,4-3=,1,0,0,0,2025-01-27 22:44:07.934632,0
2,4-4=,0,0,0,0,2025-01-27 22:44:10.933796,0
2,3-1=,2,0,0,0,2025-01-27 22:44:13.558533,0
2,3-3=,0,0,0,0,2025-01-27 22:44:16.532481,0
2,2-0=,2,0,0,0,2025-01-27 22:44:18.981591,0
2,2-1=,1,0,0,0,2025-01-27 22:44:21.468775,0
2,2-2=,0,0,0,0,2025-01-27 22:44:23.872185,0
2,1-0=,1,0,0,0,2025-01-27 22:44:25.977379,0
2,9-1=,8,0,0,0,2025-01-27 22:44:28.400580,0
2,9-8=,1,0,0,0,2025-01-27 14:26:45.270269,0
2,9-9=,0,0,0,0,2025-01-27 14:26:45.348105,0
2,8-5=,3,0,0,0,2025-01-27 14:26:45.434550,0
2,8-7=,1,0,0,0,2025-01-27 14:26:45.466499,0
2,7-2=,5,0,0,0,2025-01-27 14:26:45.563687,0
2,7-5=,2,0,0,0,2025-01-27 14:26:45.620999,0
2,7-6=,1,0,0,0,2025-01-27 14:26:45.712437,0
2,7-7=,0,0,0,0,2025-01-27 14:26:45.950493,0
2,6-3=,3,0,0,0,2025-01-27 14:26:46.043389,0
2,6-5=,1,0,0,0,2025-01-27 14:26:46.097263,0
2,6-6=,0,0,0,0,2025-01-27 14:26:46.126540,0
2,5-1=,4,0,0,0,2025-01-27 14:26:46.157721,0
2,4-0=,4,0,0,0,2025-01-27 14:26:46.219516,0
2,3-0=,3,0,0,0,2025-01-27 14:26:46.309424,0
2,3-2=,1,0,0,0,2025-01-27 14:26:46.367818,0
2,1-1=,0,0,0,0,2025-01-27 14:26:46.431919,0
2,9-3=,6,0,0,0,2025-01-27 14:26:45.764391,0
2,9-4=,5,0,0,0,2025-01-27 14:26:45.797736,0
2,7-4=,3,0,0,0,2025-01-27 14:26:46.880063,0
2,9-0=,9,0,0,0,2025-01-27 14:26:46.976062,0
2,5-5=,0,0,0,0,2025-01-27 14:26:47.174074,0
2,9-2=,7,0,0,0,2025-01-27 14:26:47.450479,0
2,9-5=,4,0,0,0,2025-01-27 23:23:39.595822,0
3,18 × 8 =,144,0,0,0,2025-01-27 21:46:11.711390,0
3,19 × 6 =,114,0,0,0,2025-01-27 21:47:07.367322,0
3,19 × 8 =,152,0,0,0,2025-01-27 14:26:37.528186,0
3,19 × 9 =,171,0,0,0,2025-01-27 14:26:37.581753,0
3,11 × 1 =,11,0,0,0,2025-01-27 14:26:40.353185,0
3,11 × 2 =,22,0,0,0,2025-01-27 14:26:40.440263,0
3,11 × 3 =,33,0,0,0,2025-01-27 14:26:40.466817,0
3,11 × 4 =,44,0,0,0,2025-01-27 14:26:40.553305,0
3,11 × 5 =,55,0,0,0,2025-01-27 14:26:40.645214,0
3,11 × 6 =,66,0,0,0,2025-01-27 14:26:40.728993,0
3,11 × 7 =,77,0,0,0,2025-01-27 14:26:40.790401,0
3,11 × 8 =,88,0,0,0,2025-01-27 14:26:40.844823,0
3,11 × 9 =,99,0,0,0,2025-01-27 14:26:40.886178,0
3,12 × 1 =,12,0,0,0,2025-01-27 14:26:40.954194,0
3,12 × 2 =,24,0,0,0,2025-01-27 14:26:41.040539,0
3,12 × 3 =,36,0,0,0,2025-01-27 14:26:41.132181,0
3,12 × 4 =,48,0,0,0,2025-01-27 14:26:41.199527,0
3,12 × 5 =,60,0,0,0,2025-01-27 14:26:41.281000,0
3,12 × 7 =,84,0,0,0,2025-01-27 14:26:41.358359,0
3,12 × 8 =,96,0,0,0,2025-01-27 14:26:41.385506,0
3,12 × 9 =,108,0,0,0,2025-01-27 14:26:41.417780,0
3,13 × 1 =,13,0,0,0,2025-01-27 14:26:41.448839,0
3,13 × 2 =,26,0,0,0,2025-01-27 14:26:41.508250,0
3,13 × 3 =,39,0,0,0,2025-01-27 14:26:41.596136,0
3,13 × 4 =,52,0,0,0,2025-01-27 14:26:41.682560,0
3,13 × 5 =,65,0,0,0,2025-01-27 14:26:41.768427,0
3,13 × 6 =,78,0,0,0,2025-01-27 14:26:41.865050,0
3,13 × 7 =,91,0,0,0,2025-01-27 14:26:41.951100,0
3,13 × 8 =,104,0,0,0,2025-01-27 14:26:42.026380,0
3,13 × 9 =,117,0,0,0,2025-01-27 14:26:42.074328,0
3,14 × 1 =,14,0,0,0,2025-01-27 14:26:42.154128,0
3,14 × 2 =,28,0,0,0,2025-01-27 14:26:42.246706,0
3,14 × 3 =,42,0,0,0,2025-01-27 14:26:42.345548,0
3,14 × 4 =,56,0,0,0,2025-01-27 14:26:42.381034,0
3,14 × 6 =,84,0,0,0,2025-01-27 14:26:42.502094,0
3,14 × 7 =,98,0,0,0,2025-01-27 14:26:42.603410,0
3,14 × 8 =,112,0,0,0,2025-01-27 14:26:42.707107,0
3,14 × 9 =,126,0,0,0,2025-01-27 14:26:42.774316,0
3,15 × 1 =,15,0,0,0,2025-01-27 14:26:42.867599,0
3,15 × 2 =,30,0,0,0,2025-01-27 14:26:42.930009,0
3,15 × 3 =,45,0,0,0,2025-01-27 14:26:43.023126,0
3,15 × 4 =,60,0,0,0,2025-01-27 14:26:43.113455,0
3,15 × 5 =,75,0,0,0,2025-01-27 14:26:43.205802,0
3,15 × 7 =,105,0,0,0,2025-01-27 14:26:43.386433,0
3,15 × 8 =,120,0,0,0,2025-01-27 14:26:43.437719,0
3,15 × 9 =,135,0,0,0,2025-01-27 14:26:43.504133,0
3,16 × 1 =,16,0,0,0,2025-01-27 14:26:43.582119,0
3,16 × 2 =,32,0,0,0,2025-01-27 14:26:43.635875,0
3,16 × 3 =,48,0,0,0,2025-01-27 14:26:43.739427,0
3,16 × 4 =,64,0,0,0,2025-01-27 14:26:43.836822,0
3,16 × 5 =,80,0,0,0,2025-01-27 14:26:43.923140,0
3,16 × 6 =,96,0,0,0,2025-01-27 14:26:43.998549,0
3,16 × 7 =,112,0,0,0,2025-01-27 14:26:44.054170,0
3,16 × 8 =,128,0,0,0,2025-01-27 14:26:44.139479,0
3,16 × 9 =,144,0,0,0,2025-01-27 14:26:44.224071,0
3,17 × 1 =,17,0,0,0,2025-01-27 14:26:44.284333,0
3,17 × 2 =,34,0,0,0,2025-01-27 14:26:44.363991,0
3,17 × 3 =,51,0,0,0,2025-01-27 14:26:44.407185,0
3,17 × 4 =,68,0,0,0,2025-01-27 14:26:44.509446,0
3,17 × 5 =,85,0,0,0,2025-01-27 14:26:44.567116,0
3,17 × 6 =,102,0,0,0,2025-01-27 14:26:44.634448,0
3,17 × 7 =,119,0,0,0,2025-01-27 14:26:44.707306,0
3,17 × 8 =,136,0,0,0,2025-01-27 14:26:44.794515,0
3,17 × 9 =,153,0,0,0,2025-01-27 14:26:44.893632,0
3,18 × 1 =,18,0,0,0,2025-01-27 14:26:44.963854,0
3,18 × 2 =,36,0,0,0,2025-01-27 14:26:45.047770,0
3,18 × 3 =,54,0,0,0,2025-01-27 14:26:45.141022,0
3,18 × 6 =,108,0,0,0,2025-01-27 21:44:21.279278,0
3,18 × 7 =,126,0,0,0,2025-01-27 22:41:18.763607,0
3,18 × 9 =,162,0,0,0,2025-01-27 21:46:37.311068,0
3,19 × 3 =,57,0,0,0,2025-01-27 21:46:46.623525,0
3,19 × 5 =,95,0,0,0,2025-01-27 21:46:55.207578,0
3,19 × 7 =,133,0,0,0,2025-01-27 21:47:17.389831,0
3,19 × 2 =,38,0,0,0,2025-01-27 18:55:30.640772,0
3,18 × 5 =,90,0,0,0,2025-01-27 14:26:36.880892,0
3,15 × 6 =,90,0,0,0,2025-01-27 14:26:43.307198,0
3,19 × 1 =,19,0,0,0,2025-01-27 14:26:45.863928,0
3,12 × 6 =,72,0,0,0,2025-01-27 14:26:46.785425,0
3,19 × 4 =,76,0,0,0,2025-01-27 14:26:47.070229,0
3,14 × 5 =,70,0,0,0,2025-01-27 14:26:47.295056,0
3,18 × 4 =,72,0,0,0,2025-01-27 14:26:47.364772,0
